Name,CMP,PE,MarCap,DivYld,NPQtr,QtrProfitVar,SalesQtr,QtrSalesVar,ROCE,ROE5Yr,ROE3Yr,ROE7Yr
Indian Bank,594.55,7.11,80083.74,2.73,2982.03,29.88,15859.63,8.38,6.38,13.49,15.03,11.99
General Insuranc,436.25,10.19,76535.7,2.29,1676.62,16.53,11143.8,-0.04,15.78,9.99,12.78,9.59
Oracle Fin.Serv.,8696.5,31.76,75568.06,3.05,643.9,14.96,1716.3,4.5,40.61,27.38,27.79,27.28
Adani Total Gas,681.6,114.55,74963.06,0.04,154.59,-7.96,1341.26,14.94,17.45,20.79,18.99,21.93
Colgate-Palmoliv,2689.7,50.05,73155.98,1.78,322.78,-2.22,1461.84,4.74,96.8,67.63,69.83,62.85
I O B,37.86,21.86,72905.45,0.0,1051.07,30.07,7633.59,15.16,5.95,9.04,9.99,-1.18
Torrent Power,1442.8,24.33,72703.2,1.11,1077.22,146.27,6456.34,-1.11,16.76,15.81,18.44,15.31
Coromandel Inter,2450.9,40.26,72212.42,0.24,578.46,89.62,4988.39,27.49,24.09,22.72,20.87,23.24
Aurobindo Pharma,1201.2,19.81,70382.95,0.37,845.57,-9.69,7978.52,8.53,14.1,12.69,10.28,14.09
Ashok Leyland,237.33,24.98,69692.6,2.63,819.67,37.61,11995.21,8.14,15.01,10.07,15.68,14.17
Oil India,423.9,9.35,68951.9,2.48,1457.2,-42.98,8336.9,-13.29,17.67,19.86,20.99,17.56
Lloyds Metals,1306.6,47.15,68366.79,0.08,202.47,-26.92,1193.3,-23.23,38.33,45.24,46.2,44.65
Yes Bank,21.55,27.62,67572.56,0.0,744.53,59.33,7623.2,2.22,6.36,1.11,3.61,-5.39
Bharat Dynamics,1842.0,119.37,67520.81,0.29,147.13,8.96,832.14,38.32,24.23,15.74,15.83,17.3
Berger Paints,576.1,56.9,67167.2,0.61,262.91,17.99,2704.03,7.29,25.14,21.96,21.48,22.19
Godrej Propert.,2176.1,47.18,65540.84,0.0,378.44,-19.7,2121.73,48.78,7.41,5.56,7.83,5.81
Abbott India,30560.0,45.91,64940.0,1.34,367.04,27.86,1604.59,11.54,46.23,32.32,34.23,30.91
I R C T C,809.05,52.47,64724.0,0.87,341.21,9.9,1224.66,9.51,53.77,37.51,41.89,35.72
Schaeffler India,4085.3,62.89,63854.74,0.69,265.41,16.58,2110.02,14.1,25.67,18.32,20.24,17.67
Alkem Lab,5221.0,28.87,62424.89,0.77,640.79,-1.71,3374.28,1.52,19.68,18.68,17.42,17.78
NMDC,70.27,9.53,61780.1,3.44,1880.0,12.62,6567.83,21.4,30.91,23.98,29.04,22.01
Prestige Estates,1433.2,105.98,61732.26,0.13,32.2,-84.78,1654.5,-7.87,14.86,8.62,9.13,8.49
Linde India,7178.0,140.96,61213.98,0.06,113.99,-2.7,605.86,-14.21,17.36,12.1,14.51,10.26
Oberoi Realty,1676.2,27.39,60947.01,0.48,433.17,-45.03,1150.14,-12.52,18.16,13.16,14.98,12.41
IndusInd Bank,780.2,8.41,60781.83,2.11,1401.28,-39.02,12800.77,10.62,7.93,12.53,13.48,12.88
JSW Infrast,288.25,40.27,60532.55,0.19,515.58,54.79,1283.18,17.04,14.51,16.43,18.29,14.88
Bharat Forge,1263.0,59.95,60382.59,0.71,282.63,22.54,3852.6,-7.48,13.09,10.54,10.76,11.24
MRF,140265.0,31.82,59488.39,0.14,512.11,29.29,7074.82,11.43,13.59,8.59,9.52,9.28
Tube Investments,3044.6,86.86,58911.15,0.11,158.19,-75.44,5149.96,14.7,21.55,21.55,21.14,21.13
Kalyan Jewellers,560.4,80.94,57801.64,0.21,187.61,36.45,6181.53,36.61,14.31,11.52,14.97,10.08
P I Industries,3769.7,33.66,57193.18,0.4,372.7,-16.92,1900.8,0.17,24.0,18.48,18.45,18.63
Aditya Birla Cap,218.24,17.22,56897.34,0.0,885.61,-29.66,12214.04,13.31,9.34,14.51,16.32,13.47
Uno Minda,989.5,60.35,56813.51,0.2,254.37,20.21,4183.99,18.77,19.94,14.81,16.56,15.69
Sundaram Finance,5094.5,34.7,56601.86,0.59,455.47,6.56,2190.31,20.26,9.21,14.16,14.15,14.17
Coforge,8426.0,67.42,56352.12,0.9,307.3,20.36,3409.9,47.08,20.66,21.51,21.08,21.29
Phoenix Mills,1550.9,56.79,55448.3,0.16,347.7,-17.19,1016.34,-22.18,11.17,8.69,10.96,8.96
Jindal Stain.,663.1,21.81,54624.16,0.45,589.96,18.63,10198.32,7.87,18.18,21.7,18.21,20.01
United Breweries,2050.6,117.9,54218.92,0.49,97.76,20.16,2322.98,8.89,13.88,8.57,9.73,10.31
Cochin Shipyard,2035.6,63.53,53552.72,0.48,284.7,7.57,1651.13,34.73,20.13,13.99,13.47,14.53
Page Industries,47830.0,73.17,53348.98,1.88,164.01,51.58,1098.07,10.64,59.4,45.37,44.34,45.35
Fortis Health.,700.05,67.23,52850.85,0.14,254.3,76.38,1928.26,14.8,10.34,4.47,7.3,2.77
Balkrishna Inds,2709.7,29.54,52383.16,0.59,449.48,47.17,2560.33,12.57,17.62,18.11,17.58,18.07
UPL,644.2,48.37,52370.81,0.16,1079.0,826.31,15573.0,10.62,7.76,8.61,4.62,9.57
Bank of India,114.33,5.45,52050.65,3.54,2602.32,65.33,18478.96,13.71,6.17,8.33,9.91,4.13
AU Small Finance,684.85,24.22,50998.47,0.15,503.7,16.24,4270.6,50.93,8.4,15.35,14.16,15.46
IDFC First Bank,69.26,34.05,50743.95,0.0,295.6,-59.61,9412.94,14.51,6.22,6.07,7.88,1.76
S A I L,122.48,17.32,50590.67,1.63,141.89,-64.61,24489.91,4.89,8.1,10.18,11.28,8.53
APL Apollo Tubes,1785.4,65.45,49549.24,0.31,293.11,71.97,5508.6,15.59,22.8,22.93,21.4,22.37
Mphasis,2600.4,29.06,49465.76,2.12,446.49,13.55,3710.04,8.73,22.2,19.8,19.47,20.0
Federal Bank,199.03,11.75,48885.4,0.6,1120.48,12.38,7107.95,12.13,7.04,13.16,14.15,12.67
Petronet LNG,320.6,13.38,48090.0,3.12,866.99,-27.18,12226.86,-17.09,26.41,24.55,23.75,24.1
Glaxosmi. Pharma,2828.6,51.85,47918.19,1.48,262.87,36.37,974.37,4.79,66.88,45.36,37.25,36.35
GE Vernova T&D,1861.4,97.64,47661.15,0.11,142.68,189.12,1073.65,27.97,23.14,-2.79,0.98,3.28
L&T Technology,4474.2,37.49,47373.03,1.12,310.2,-9.01,2982.4,17.53,28.34,24.53,25.32,26.03
Motil.Oswal.Fin.,789.0,18.9,47285.86,0.63,-63.18,-108.74,1190.26,-44.74,18.67,26.44,25.15,23.51
Hexaware Tech.,770.95,40.26,46850.22,0.75,327.1,17.24,3207.9,16.7,29.52,22.19,22.78,22.91
H U D C O,233.86,17.28,46816.43,1.77,727.74,3.94,2844.99,37.76,9.62,13.11,13.51,13.1
Supreme Inds.,3681.9,48.67,46770.02,0.92,293.94,-17.16,3027.07,0.64,22.95,23.32,19.91,22.84
