Name,CMP,PE,MarCap,DivYld,NPQtr,QtrProfitVar,SalesQtr,QtrSalesVar,ROCE,ROE5Yr,ROE3Yr,ROE7Yr
Chalet Hotels,902.9,138.42,19724.34,0.0,123.84,50.22,521.97,24.8,11.3,4.31,10.33,4.24
Grindwell Norton,1780.0,53.45,19708.16,0.96,92.84,-0.08,709.51,2.67,22.27,18.64,18.8,17.89
Astrazeneca Phar,7837.5,116.9,19593.75,0.31,30.85,246.08,440.29,43.98,31.13,20.54,19.88,19.72
Manappuram Fin.,229.48,16.56,19423.98,1.55,-203.18,-134.04,2359.73,0.5,11.04,17.21,15.37,18.66
CreditAcc. Gram.,1204.7,36.21,19241.42,0.83,47.21,-88.11,1406.63,-3.49,9.52,13.58,16.26,13.75
Cams Services,3890.9,43.62,19236.64,1.2,106.08,9.41,336.44,17.2,57.21,44.06,42.42,41.51
Triveni Turbine,605.15,53.85,19236.32,0.43,94.6,23.55,538.0,17.44,44.22,24.49,28.17,24.25
Amara Raja Ener.,1035.75,20.0,18956.85,0.96,311.83,-7.21,3164.02,9.8,18.74,14.72,13.53,14.98
Carborundum Uni.,983.5,52.33,18728.07,0.41,30.1,-78.39,1217.12,1.33,15.99,14.07,13.72,14.27
Kalpataru Proj.,1093.8,32.93,18679.1,0.73,218.17,32.75,7066.77,18.35,14.06,10.37,9.6,11.13
LMW,17434.0,181.51,18624.74,0.43,47.82,-27.52,803.63,-17.21,5.52,9.61,10.93,8.91
Vinati Organics,1778.2,44.39,18433.82,0.39,127.57,22.09,648.45,17.83,20.56,17.58,16.55,19.62
Vedant Fashions,751.6,47.0,18259.67,1.13,101.11,-12.68,367.44,1.18,26.66,24.77,27.24,24.55
Asahi India Glas,750.8,52.98,18251.95,0.27,91.54,24.97,1179.85,6.77,12.64,15.5,15.47,15.2
Karur Vysya Bank,225.75,9.64,18173.92,1.06,496.03,20.5,2486.01,16.2,6.89,10.48,13.68,9.07
Zensar Tech.,798.75,27.92,18140.36,1.13,176.4,1.79,1358.9,10.51,22.03,16.12,16.33,15.75
Alembic Pharma,912.95,31.41,17945.23,1.2,156.63,-12.11,1769.64,16.66,13.13,13.46,10.62,15.8
Indian Energy Ex,199.86,42.98,17821.37,1.5,111.99,17.76,141.26,16.47,53.61,40.97,38.66,41.68
Ircon Intl.,188.88,23.29,17764.46,1.64,86.1,-64.81,2612.86,-10.81,18.15,13.34,15.08,12.78
Anant Raj,514.1,41.47,17647.03,0.14,118.79,51.46,540.65,22.16,11.17,6.0,8.45,4.63
IIFL Finance,413.95,30.97,17587.07,0.97,251.36,-44.38,2591.25,-9.2,8.76,14.39,13.13,14.21
Aarti Industries,474.65,52.3,17207.02,0.21,96.0,-27.27,1949.0,9.93,6.45,13.33,8.47,14.66
JBM Auto,726.05,85.04,17170.67,0.1,72.03,19.0,1645.7,10.75,14.18,14.51,15.09,14.38
EID Parry,960.8,21.03,17080.94,0.42,415.57,64.82,8720.35,12.23,20.29,14.94,15.84,13.48
Deepak Fertiliz.,1345.1,19.49,16980.25,0.63,253.09,335.56,2579.02,39.21,10.72,15.28,17.36,13.39
CIE Automotive,443.95,21.16,16841.79,1.58,206.4,-10.51,2272.63,-6.35,16.59,8.81,11.0,9.12
Blue Dart Expres,6947.5,59.94,16486.42,0.36,81.01,-8.86,1511.69,9.31,19.22,29.29,34.7,27.97
Newgen Software,1158.95,52.07,16413.65,0.35,108.34,2.92,429.89,14.55,28.62,21.82,21.97,21.17
Akzo Nobel,3598.4,38.23,16387.23,2.08,107.5,-1.19,1022.1,5.0,41.68,26.12,30.27,23.91
Century Plyboard,736.15,75.3,16355.26,0.14,58.83,-6.72,1140.47,21.66,18.01,18.15,19.71,18.21
V-Guard Industri,375.0,52.09,16341.71,0.37,91.13,19.64,1538.08,14.55,19.72,15.62,14.6,16.46
Aptus Value Hou.,326.8,21.74,16333.93,1.38,207.03,26.21,484.04,29.24,15.04,16.67,17.4,16.76
DCM Shriram,1040.9,26.86,16232.03,0.63,178.91,51.88,2876.76,19.9,11.67,12.76,10.07,14.74
BLS Internat.,393.75,31.9,16212.3,0.25,145.22,67.34,692.77,54.74,32.9,28.76,32.38,27.63
eClerx Services,3301.8,29.92,16187.19,0.03,152.51,17.15,898.29,17.19,29.08,24.95,25.85,23.02
Data Pattern,2868.2,89.79,16057.32,0.23,44.66,-12.38,117.04,-16.11,19.71,16.67,15.77,15.74
Bata India,1248.5,64.02,16046.66,0.96,58.7,13.83,918.79,1.7,18.66,11.31,14.66,13.15
Sarda Energy,454.75,23.58,16024.54,0.22,200.08,70.51,1319.14,42.55,15.28,18.19,20.28,17.21
HBL Engineering,568.75,47.82,15765.46,0.09,64.67,-20.27,450.56,-24.81,35.94,12.01,17.18,9.97
CEAT,3831.5,31.45,15498.45,0.78,98.71,-11.12,3420.62,14.33,15.04,10.9,12.18,10.6
Caplin Point Lab,2010.0,28.49,15278.35,0.25,145.28,17.6,502.45,10.86,25.85,24.22,23.49,25.24
BEML Ltd,3654.1,58.13,15217.32,0.56,24.41,-49.36,875.77,-16.35,15.25,5.93,7.76,5.51
Elgi Equipments,478.55,46.75,15165.68,0.42,80.58,-3.93,847.59,3.13,22.28,17.33,20.92,16.74
T R I L,504.25,71.46,15135.86,0.04,94.2,129.45,676.48,31.94,27.97,13.02,16.93,10.38
Kajaria Ceramics,947.8,44.18,15095.83,1.27,43.18,-30.68,1221.85,1.13,16.81,16.12,15.03,16.02
Natco Pharma,841.15,8.08,15065.83,1.13,132.4,-37.75,474.8,-37.41,30.1,14.24,15.78,16.13
Jubilant Pharmo,945.6,27.14,15063.41,0.53,151.3,16210.18,1928.8,9.68,9.54,5.58,1.36,8.66
Action Const.Eq.,1259.0,38.53,14992.57,0.16,111.68,26.56,875.11,16.2,42.3,20.67,23.16,19.46
Gravita India,2030.2,47.97,14984.59,0.31,94.92,37.61,1037.07,20.11,21.63,29.58,28.54,27.86
Kirl. Brothers,1885.8,35.59,14974.94,0.32,137.8,-9.26,1281.3,4.7,28.18,18.01,20.91,15.06
Trident,29.38,51.06,14972.25,1.23,80.1,-26.73,1667.09,-9.17,10.43,12.7,13.69,12.37
Intellect Design,1074.55,44.86,14926.82,0.33,136.4,58.43,725.91,18.29,16.64,15.96,13.69,14.46
PCBL Chemical,395.0,34.28,14909.77,1.39,100.19,-9.73,2087.49,8.23,11.86,15.73,14.81,16.67
Techno Elec.Engg,1280.1,46.38,14887.51,0.55,95.99,4.47,636.08,94.79,16.53,11.81,12.71,13.0
Elecon Engg.Co,663.25,35.85,14883.33,0.23,146.48,41.32,797.57,41.26,28.54,19.25,22.84,17.1
Finolex Cables,961.65,21.16,14707.41,0.83,147.25,-2.47,1182.11,-3.24,18.52,14.06,14.07,14.3
Sobha,1372.5,241.08,14674.4,0.22,21.69,43.83,1224.09,78.72,7.12,5.3,4.07,6.67
Welspun Living,149.07,22.71,14486.75,0.07,122.87,-31.65,2489.61,3.27,16.1,13.5,12.09,13.68
Cyient,1304.3,23.53,14484.35,2.3,186.4,-9.94,1909.2,2.6,16.66,15.65,15.82,15.8
Sanofi India,6286.0,38.11,14476.66,1.86,119.5,9.79,535.9,4.91,49.16,31.94,40.62,27.32
Vardhman Textile,499.8,16.36,14452.96,0.8,237.88,18.31,2508.57,2.0,11.23,10.7,8.7,10.78
Force Motors,10954.5,26.39,14433.94,0.18,434.74,26.81,2356.01,17.14,29.8,7.58,14.84,7.12
Mah. Scooters,12572.0,83.73,14368.0,1.11,51.63,3920.0,6.65,28.38,0.59,0.69,0.78,0.78
UTI AMC,1120.2,19.6,14337.5,2.14,101.99,-46.26,375.91,-9.65,21.02,15.75,15.65,14.96
Swan Energy,455.55,18.34,14279.53,0.02,561.95,388.19,1908.19,19.89,8.25,0.33,1.48,0.08
NCC,227.19,17.4,14264.05,0.97,265.07,-2.14,6130.88,-5.46,22.12,9.18,11.09,9.51
Neuland Labs.,11056.0,69.97,14184.73,0.13,27.81,-58.84,328.36,-14.71,18.18,16.0,19.29,13.15
Godrej Agrovet,732.7,34.93,14089.71,1.36,66.1,15.7,2133.64,-0.03,16.49,15.39,14.01,15.77
Alivus Life,1142.6,28.85,14011.61,1.97,141.87,44.85,649.55,21.05,25.14,24.71,20.62,29.49
IFCI,51.77,81.23,13948.47,0.0,260.43,73.35,413.61,-31.68,8.08,-16.15,1.07,-13.47
Fine Organic,4538.4,35.71,13914.72,0.22,88.54,-15.46,576.25,10.49,25.76,26.34,27.11,26.67
Rainbow Child.,1367.8,58.35,13890.24,0.22,68.94,10.56,398.08,18.49,19.08,19.88,22.4,18.46
GE Shipping Co,972.75,5.92,13887.68,3.05,363.09,-56.85,1223.04,-18.32,16.93,17.59,21.24,13.91
Jindal Saw,217.13,9.52,13885.64,0.92,86.92,-81.91,5046.59,-6.98,19.21,10.16,12.85,9.67
Capri Global,167.44,28.87,13815.75,0.09,177.74,115.21,957.33,47.59,11.18,9.63,9.15,9.8
Rites,286.99,35.84,13792.85,4.01,141.33,5.24,615.43,-4.32,20.81,18.27,17.76,19.4
Nava,474.05,12.59,13756.99,0.42,302.84,13.69,1018.2,10.21,17.17,15.73,17.94,14.56
Mahanagar Gas,1391.4,13.15,13743.94,2.16,252.19,-4.83,1864.85,19.0,24.48,21.14,22.28,22.32
Choice Intl.,684.2,87.26,13660.43,0.0,53.51,34.22,253.0,17.92,21.57,17.39,19.01,15.77
KSB,776.65,53.11,13516.76,0.52,51.6,15.7,595.4,9.41,23.82,16.01,17.26,14.85
Godawari Power,201.71,16.7,13499.62,0.5,145.04,-36.82,1297.6,-0.86,29.19,29.16,29.73,28.66
Bombay Burmah,1909.2,11.82,13320.85,0.89,584.78,0.77,4518.82,8.58,35.46,-4.27,-10.52,0.44
Supreme Petroch.,695.75,33.5,13082.98,1.29,106.89,-18.71,1539.02,-1.52,23.94,29.29,20.7,26.78
Tejas Networks,740.6,29.25,13060.4,0.0,-71.8,-148.92,1906.94,43.72,15.46,3.84,5.25,2.49
Kirloskar Oil,895.5,28.93,13000.8,0.67,126.56,-17.34,1752.89,5.59,14.01,13.74,16.02,12.96
L T Foods,370.85,21.27,12877.88,0.54,160.52,7.91,2228.36,7.4,19.23,17.23,17.63,16.29
Jyothy Labs,348.5,34.25,12797.43,1.0,76.27,1.52,666.96,1.06,25.13,16.74,18.6,16.17
Nuvoco Vistas,357.45,584.55,12766.55,0.0,165.54,64.96,3042.25,3.71,3.95,1.46,2.18,1.68
HFCL,88.43,34.86,12757.56,0.23,72.58,-11.75,1011.95,-1.97,13.26,11.63,10.73,12.41
Craftsman Auto,5249.6,59.02,12523.23,0.21,66.76,19.75,1749.25,58.25,11.74,14.77,15.19,14.08
Zee Entertainmen,129.67,16.38,12455.06,0.77,188.4,1144.88,2184.1,0.65,9.21,5.56,3.12,7.33
Railtel Corpn.,383.55,39.09,12309.59,0.74,113.45,55.13,1308.28,57.11,21.78,13.39,14.7,13.0
Titagarh Rail,912.85,42.19,12293.69,0.09,62.77,-16.99,902.18,-5.5,24.97,7.36,12.41,3.08
Granules India,505.6,25.59,12263.01,0.3,117.6,-6.41,1137.7,-1.55,15.4,18.67,16.51,17.96
Ingersoll-Rand,3866.4,46.28,12205.45,1.81,77.66,40.99,385.32,17.04,51.35,27.26,31.31,19.42
Avanti Feeds,883.75,25.03,12040.71,0.76,140.81,86.57,1365.77,8.98,20.01,16.57,13.53,20.05
Home First Finan,1166.8,31.51,12037.2,0.29,104.69,25.42,414.66,32.58,11.32,13.95,15.3,13.58
Minda Corp,502.7,43.85,12018.52,0.28,64.8,23.45,1252.56,7.44,15.2,8.7,15.21,10.62
Birlasoft Ltd,429.7,20.78,11940.38,1.51,116.94,-27.39,1362.7,1.47,29.76,16.91,18.34,16.47
Finolex Inds.,191.57,24.91,11886.48,1.31,94.02,-1.45,1001.24,-1.81,10.91,13.75,10.69,13.61
G R Infraproject,1207.9,11.42,11685.26,1.03,403.16,24.85,2275.57,-8.43,14.44,18.79,17.31,20.8
Zydus Wellness,1827.3,36.32,11627.5,0.27,6.4,2033.33,461.9,14.56,5.33,5.98,6.08,6.52
Eureka Forbes,595.25,72.14,11511.61,0.0,50.75,52.99,612.54,10.75,5.07,1.99,2.31,1.98
J & K Bank,103.89,5.5,11440.18,2.07,581.91,-8.13,3213.39,10.41,6.15,12.6,15.14,8.71
Gallantt Ispat L,469.85,29.85,11336.59,0.21,113.67,118.68,1118.32,5.24,11.96,8.45,8.25,9.02
Ramkrishna Forg.,623.7,29.68,11297.82,0.32,99.61,17.81,1073.78,7.85,18.71,13.78,18.81,14.03
Balrampur Chini,558.7,25.82,11280.29,0.54,229.12,12.65,1503.68,4.84,11.08,14.15,12.05,16.72
G M D C,354.6,16.44,11276.28,2.69,226.22,20.82,786.28,4.8,14.17,12.81,14.31,11.02
ITD Cem,653.65,30.12,11228.9,0.26,113.91,26.86,2479.72,9.83,28.21,13.29,18.19,12.2
Sonata Software,397.8,26.27,11155.3,1.99,107.53,-2.56,2617.2,19.42,29.08,32.3,31.33,33.02
Safari Inds.,2275.4,77.9,11123.64,0.12,37.59,-12.97,421.06,15.23,18.99,18.68,23.58,18.08
Lemon Tree Hotel,140.33,62.14,11117.59,0.0,79.84,76.53,355.18,22.4,11.36,1.09,6.68,1.88
Reliance Infra.,279.5,670.69,11071.87,0.0,-3186.33,70.77,5032.55,8.51,7.38,0.0,-6.22,4.57
Nazara Technolo.,1259.3,154.4,11033.51,0.0,13.68,-46.04,534.69,66.88,5.53,2.79,3.42,2.97
JM Financial,115.18,14.23,11009.4,2.34,235.02,782.36,1003.92,-20.37,9.39,7.18,5.67,7.96
Relaxo Footwear,439.7,64.26,10945.83,0.68,56.22,-8.42,695.15,-6.97,11.09,11.82,9.14,13.19
Marksans Pharma,241.4,29.75,10939.37,0.25,105.06,26.02,681.85,16.33,20.61,19.4,17.27,18.27
Vesuvius India,5363.4,42.69,10887.7,0.27,59.31,-13.77,482.22,6.37,25.47,13.95,17.38,13.53
Engineers India,193.53,26.18,10877.21,1.55,108.73,71.63,764.59,-11.88,22.21,16.42,16.01,16.03
